		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111001100    4    1    4    4    4    4    1    4  4.331577 0.826037 SUCCESS 124
111010000    0    3    4    2    2    2    2    9 14.936764 0.060387 SUCCESS 125
111010010    6    5    6    4    2    6    3    5  5.716331 0.678972 SUCCESS 126
111010100    5    1    5    3    4    5    1    4  5.615007 0.690268 SUCCESS 127
111010110    4    5    3    3    3    6   10    2 13.450686 0.097255 SUCCESS 128
111011000    3    4    2    5    0    4    7    4  8.148093 0.419139 SUCCESS 129
111011010    5    5    4    4    8    2    4    0 10.343434 0.241744 SUCCESS 130
111011100    3    2    2    2    4    4    3    1  5.175939 0.738617 SUCCESS 131
111100000    4    4    4    6    5    5    3    4  2.271334 0.971543 SUCCESS 132
111100010    4    4    5    1    5    6    6    3  5.682556 0.682741 SUCCESS 133
111100100    7   11    6    6    2    6    1    9 30.878318 0.000148 FAILURE 134
111100110    6    2    3    7    6    3    3    5  7.134859 0.522155 SUCCESS 135
111101000    4    4    1    3    4    2    1    8 10.107013 0.257595 SUCCESS 136
111101010    5    3    1    2    2    3    1    7  9.532847 0.299355 SUCCESS 137
111101100    2    6    2    3    1    6    4    6  7.979221 0.435503 SUCCESS 138
111101110    1    2    4    4    4    5    2    2  5.209713 0.734945 SUCCESS 139
111110000    3    5    1    7    7    3    4    6  9.667945 0.289109 SUCCESS 140
111110010    5    7    7    7    2    6    2    3 11.863286 0.157409 SUCCESS 141
111110100    3    3    0    3    6    5    3    7  9.060004 0.337259 SUCCESS 142
111110110    2    3    2    2    3    3    8    2  8.823583 0.357396 SUCCESS 143
111111000    4    2    3    5    7    3    3    5  4.939518 0.764021 SUCCESS 144
111111010    2    3    2    2    6    5    6    9 13.079167 0.109155 SUCCESS 145
111111100    6    5    6    3    5    3    3    2  4.770645 0.781785 SUCCESS 146
111111110    1    5    5    2    4    6    6    5  6.763340 0.562369 SUCCESS 147

