		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110100100    3    3    3    7    3    4    8    4  8.215642 0.412694 SUCCESS 108
110101000    0    5    6    2    9    4    4    7 16.524164 0.035463 SUCCESS 109
110101010    3    9    4    3    2    4    3    2  9.600396 0.294200 SUCCESS 110
110101100    2    5    4    0    5    2    4    4  6.493144 0.592168 SUCCESS 111
110110000    8    2    3    3    3    8    5    5 11.660639 0.167000 SUCCESS 112
110110010    4    5    3    2    4    6    6    6  5.344811 0.720166 SUCCESS 113
110110100    3    1    5    4    3    5    2    7  6.898437 0.547629 SUCCESS 114
110111000    5    3    0    7    1    3    3    6 11.018924 0.200629 SUCCESS 115
110111010    6    5    4    3    3    4    3    3  2.406432 0.965951 SUCCESS 116
110111100    4    2    1    5    2    4    5    3  4.871969 0.771169 SUCCESS 117
111000000    3    3    5    1    4    3    6    5  4.736871 0.785294 SUCCESS 118
111000010    5    3    2    5    3    3    3    5  2.744176 0.949372 SUCCESS 119
111000100    3    1    3    2    5    5    3    3  4.500449 0.809388 SUCCESS 120
111000110    3    5    1    6    3    3    5    1  6.864663 0.551303 SUCCESS 121
111001000    6    3    4    6    3    4    1    3  5.277262 0.727572 SUCCESS 122
111001010    2    4    3    3    4    2    2    8  7.776574 0.455594 SUCCESS 123
111001100    5    6    1    5    2    2    2    3  7.033535 0.533019 SUCCESS 124
111010000    4    2    4    4    4    2    7    4  4.567998 0.802592 SUCCESS 125
111010010    3    5    2    7    3    3    8    3  9.465298 0.304576 SUCCESS 126
111010100    1    6    7    2    5    3    5    3  8.181868 0.415910 SUCCESS 127
111010110    2    7    4    3    3    3    3    4  4.365351 0.822748 SUCCESS 128
111011000    5    1    2    6    3    4    3    4  5.074616 0.749572 SUCCESS 129
111011010    7    2    6    4    5    3    4    6  6.797114 0.558673 SUCCESS 130
111011100    5    4    1    6    3    3    6    5  5.851429 0.663870 SUCCESS 131
111100000    1    4    4    0    6    2    4    3  8.452063 0.390601 SUCCESS 132
111100010    3    0    2    2    8    4    5    4 11.018924 0.200629 SUCCESS 133
111100100    5    2    4    7    3    3    1    1  8.654710 0.372256 SUCCESS 134
111100110    5    4    3    6    2    5    5    2  4.399126 0.819438 SUCCESS 135
111101000    4    2    3    6    6    3    5    5  4.601773 0.799167 SUCCESS 136
111101010    4    7    6    3    4    3    3    4  4.601773 0.799167 SUCCESS 137
111101100    4    2    3    8    5    7    3    3  9.296425 0.317910 SUCCESS 138
111101110    7    6    2    5    3    2    5    5  7.134859 0.522155 SUCCESS 139
111110000    2    5    5    1    4    6    5    3  5.648782 0.686506 SUCCESS 140
111110010    3    2    6    3    3    1    3    4  5.040841 0.753202 SUCCESS 141
111110100    4    3    4    5    4    7    4    1  5.479909 0.705265 SUCCESS 142
111110110    4    4    4    5    4    5    6    4  2.102461 0.977708 SUCCESS 143
111111000    1    4    2    2    5    7    6    5  8.722259 0.366265 SUCCESS 144
111111010    5    6    3    5    2    3    4    4  3.318343 0.912822 SUCCESS 145
111111100    1    3    4    3    6    5    6    3  5.648782 0.686506 SUCCESS 146
111111110    3    1    8    5    6    1    9    3 18.314212 0.018990 SUCCESS 147

